name,online_order,book_table,ratings(out of 5),votes,location,dish_liked,cuisines,cost(2 People)
Bella,Yes,Yes,3.9,142,Jayanagar,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","Mangalorean, Seafood, South Indian",1000
New Prashanth Hotel,Yes,No,3.6,143,Jayanagar,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani","South Indian, Biryani, Chinese, North Indian",750
Karma Kaapi,Yes,No,4.4,181,Jayanagar,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano","Beverages, Tea",250
Tiwari's,Yes,No,3.8,70,Jayanagar,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha","North Indian, Street Food",200
Pizza Stop,Yes,No,3.8,164,Basavanagudi,"Pizza, White Sauce Pasta, Masala Garlic Bread","Pizza, Italian",600
Biggies Burger 'n' More,Yes,No,3.6,58,Kumaraswamy Layout,"Burgers, Fries, Mojito, Chicken Burger","Cafe, Burger, Beverages",650
Kollapuri's,No,No,3.9,206,Basavanagudi,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry","South Indian, Mangalorean",450
RS Shiv Sagar,No,No,3.7,217,Basavanagudi,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda","North Indian, Chinese, South Indian, Fast Food, Juices",450
Harshi Super Sandwich,No,No,3.8,148,Basavanagudi,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich","Fast Food, Street Food",150
Ugadi,Yes,No,2.9,177,Jayanagar,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha","North Indian, Chinese, Biryani, Andhra, Mangalorean",700
Subway,Yes,No,3.7,136,Banashankari,"Veggie Delight, Paneer Tikka, Salad","Salad, Fast Food",600
The Lassi Park,Yes,No,4.1,185,Jayanagar,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge","Juices, Desserts",200
A2B - Adyar Ananda Bhavan,Yes,No,3.8,155,Mysore Road,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath","South Indian, North Indian, Chinese, Street Food",400
Srikrishna Bhavan,Yes,No,3.8,42,Banashankari,"Roti, Masala Dosa","South Indian, North Indian, Chinese",300
Green Gardenia,Yes,No,3.8,160,Banashankari,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti","North Indian, Chinese",700
J Spice,Yes,No,3.8,59,Banashankari,"Stuffed Mushroom, Chicken Biryani, Jal-jeera","North Indian, Chinese",750
Hatti Kaapi,Yes,No,4.0,89,Jayanagar,"Filter Coffee, Tea, Hot Coffee, Hatti Samosa","South Indian, Beverages",200
Upahara Darshini,Yes,No,3.9,40,Basavanagudi,Masala Dosa,"North Indian, Chinese, South Indian, Fast Food",600
The Chaat Shop,Yes,No,2.5,35,Basavanagudi,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",Fast Food,200
Samskruti - Sanman Gardenia,Yes,No,4.1,139,Jayanagar,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka","North Indian, Chinese, South Indian",550
Chumma Delicious,Yes,No,3.7,237,Banashankari,Chicken Biryani,"South Indian, Fast Food",200
New Prashanth Hotel,Yes,No,3.9,388,Banashankari,"Chicken Biryani, Ragi Mudde, Mutton Chops","Biryani, North Indian, Seafood, Andhra",650
Dwaraka Grand,Yes,No,3.9,128,Kumaraswamy Layout,"Masala Dosa, Coffee","South Indian, Chinese, Street Food, Juices",500
Gufha - The President Hotel,Yes,Yes,4.1,1875,Jayanagar,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry","North Indian, Afghani, Mughlai",1200
